Occupational Interest,Job Zone,Code,Occupation
53,1-2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
53,5,19-2012.00,Physicists
53,1-2,49-9052.00,Telecommunications Line Installers and Repairers
52,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
52,4,15-1299.05,Information Security Engineers
52,1-2,47-2221.00,Structural Iron and Steel Workers
52,1-2,51-2061.00,Timing Device Assemblers and Adjusters
51,3,27-4012.00,Broadcast Technicians
51,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
51,3,49-9071.00,"Maintenance and Repair Workers, General"
51,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
51,1-2,49-3043.00,Rail Car Repairers
50,1-2,51-8091.00,Chemical Plant and System Operators
50,3,49-9092.00,Commercial Divers
50,4,11-9021.00,Construction Managers
50,3,49-2098.00,Security and Fire Alarm Systems Installers
49,4,19-2021.00,Atmospheric and Space Scientists
49,1-2,51-9081.00,Dental Laboratory Technicians
49,1-2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
49,3,49-9043.00,"Maintenance Workers, Machinery"
49,1-2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
48,3,19-4044.00,Hydrologic Technicians
48,5,19-2043.00,Hydrologists
48,4,15-1253.00,Software Quality Assurance Analysts and Testers
48,4,17-1022.00,Surveyors
47,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
47,1-2,47-5011.00,"Derrick Operators, Oil and Gas"
47,1-2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
47,1-2,49-9031.00,Home Appliance Repairers
47,3,17-3031.00,Surveying and Mapping Technicians
46,5,19-2011.00,Astronomers
46,1-2,51-9011.00,Chemical Equipment Operators and Tenders
46,4,15-1231.00,Computer Network Support Specialists
46,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
46,3,53-6041.00,Traffic Technicians
45,3,47-2111.00,Electricians
45,1-2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
45,1-2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
45,1-2,49-3092.00,Recreational Vehicle Service Technicians
45,1-2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
44,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
44,4,19-1012.00,Food Scientists and Technologists
44,1-2,51-8092.00,Gas Plant Operators
44,1-2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
44,1-2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
44,1-2,47-5013.00,"Service Unit Operators, Oil and Gas"
43,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
43,1-2,49-9011.00,Mechanical Door Repairers
43,1-2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
43,5,29-1023.00,Orthodontists
43,4,41-9031.00,Sales Engineers
